timestamp(ms),Livello Fumo,
"1775735419.357","534",
"1775735419.457","532",
"1775735419.558","534",
"1775735419.657","535",
"1775735419.758","536",
"1775735419.857","536",
"1775735419.957","532",
"1775735420.057","532",
"1775735420.157","525",
"1775735420.258","533",
"1775735420.357","532",
"1775735420.457","526",
"1775735420.558","527",
"1775735420.657","533",
"1775735420.758","533",
"1775735420.858","532",
"1775735420.958","533",
"1775735421.057","532",
"1775735421.157","532",
"1775735421.257","531",
"1775735421.358","533",
"1775735421.458","534",
"1775735421.557","533",
"1775735421.657","532",
"1775735421.757","531",
"1775735421.857","532",
"1775735421.957","532",
"1775735422.057","533",
"1775735422.157","532",
"1775735422.257","533",
"1775735422.357","530",
"1775735422.457","531",
"1775735422.558","531",
"1775735422.658","533",
"1775735422.759","532",
"1775735422.857","523",
"1775735422.958","532",
"1775735423.057","530",
"1775735423.158","529",
"1775735423.257","533",
"1775735423.358","532",
"1775735423.457","531",
"1775735423.559","530",
"1775735423.658","524",
"1775735423.758","529",
"1775735423.858","530",
"1775735423.957","530",
"1775735424.059","527",
"1775735424.159","531",
"1775735424.258","527",
"1775735424.359","530",
"1775735424.458","524",
"1775735424.558","529",
"1775735424.658","533",
"1775735424.759","525",
"1775735424.858","530",
"1775735424.959","530",
"1775735425.059","527",
"1775735425.158","530",
"1775735425.259","526",
"1775735425.358","529",
