Timestamp_Unix,Bus_V,Shunt_mV,Current_mA,Power_mW
1779966986.3820858,Bus Voltage,Shunt Voltage,Current,Power
1779966987.7117598,5.044,7.370,73.800,374.000
1779966987.7160265,5.044,7.360,73.700,370.000
1779966987.7199237,5.044,7.370,64.100,370.000
1779966987.7227533,5.044,7.330,73.400,370.000
1779966987.7267654,5.044,7.350,73.400,370.000
1779966987.7307045,5.048,6.760,73.700,370.000
1779966987.733822,5.052,7.410,74.000,374.000
1779966987.7378101,5.044,6.880,61.200,312.000
1779966987.741674,5.052,5.700,61.200,308.000
1779966987.7447958,5.052,6.140,61.600,312.000
1779966987.7488573,5.052,6.190,62.100,314.000
1779966987.7526753,5.052,6.010,50.800,232.000
1779966987.7556636,5.052,5.610,62.000,314.000
1779966987.759729,5.048,6.190,61.700,312.000
1779966987.7636917,5.052,6.190,61.900,312.000
1779966987.7667258,5.052,5.700,67.600,340.000
1779966987.7708247,5.044,7.840,73.500,370.000
1779966987.7745101,5.048,7.330,73.400,370.000
1779966987.7777627,5.044,7.130,71.300,370.000
1779966987.7818193,5.048,7.370,73.800,374.000
1779966987.784824,5.044,7.390,73.800,374.000
1779966987.7888267,5.048,6.820,73.300,370.000
1779966987.7928338,5.048,7.340,73.300,370.000
1779966987.7958202,5.044,7.330,73.200,374.000
1779966987.800374,5.052,6.510,73.700,374.000
1779966987.803977,5.044,7.370,73.800,370.000
1779966987.8068151,5.048,7.340,73.100,370.000
1779966987.8108146,5.048,6.750,73.200,370.000
1779966987.814676,5.044,7.380,73.700,370.000
1779966987.8178003,5.044,7.380,74.000,374.000
1779966987.8217196,5.044,7.080,73.900,370.000
1779966987.825552,5.044,7.340,73.300,370.000
1779966987.8288357,5.044,7.330,73.100,370.000
1779966987.8327224,5.048,6.990,73.800,374.000
1779966987.8366306,5.044,7.380,73.900,374.000
1779966987.839855,5.044,7.360,73.400,370.000
1779966987.843713,5.048,6.720,73.700,370.000
1779966987.8474576,5.044,7.340,73.400,370.000
1779966987.8507662,5.048,7.370,73.800,374.000
1779966987.8548524,5.048,6.760,73.500,374.000
1779966987.8577898,5.044,7.360,73.500,370.000
1779966987.8617144,5.044,7.330,73.200,370.000
1779966987.8657925,5.048,7.340,73.900,374.000
1779966987.8688908,5.044,7.360,73.800,370.000
1779966987.8728878,5.044,7.390,73.800,374.000
